GEOIDFQ,NAME,GEOTYPE,YEAR,Number of sales,Median home sale price (2023 dollars),Median home sale price (year-of dollars),Median income (2023 dollars),Median income (year-of dollars),Median income MOE (year-of dollars),Mean income (2023 dollars),Mean income (year-of dollars),Mean income MOE (year-of dollars),Median sale price/income ratio (MSA med inc),Median sale price/income ratio (geography med inc)
0500000US39049,Franklin County,COUNTY,2019,19091,238368,200000,77127,64713,1821,104601,87764,1865,2.9758804886395764,3.090569128304977
0500000US39049,Franklin County,COUNTY,2020,19310,263660,223950,76938,65350,0,105068,89244,0,3.221236137681055,3.4269056854959032
0500000US39049,Franklin County,COUNTY,2021,20823,285619,254000,74203,65988,1704,102019,90725,2006,3.5356839599660352,3.84918470024853
0500000US39049,Franklin County,COUNTY,2022,17321,292567,281000,72549,69681,1779,102088,98052,1878,3.7082492049038622,4.032663136292533
0500000US39049,Franklin County,COUNTY,2023,14911,300000,300000,71680,71680,1308,99995,99995,2363,3.876469828143171,4.185267857142857
0500000US39073,Hocking County,COUNTY,2012,153,149303,112500,,,,,,,2.0950110802808246,
0500000US39073,Hocking County,COUNTY,2013,164,163497,125000,,,,,,,2.3114332735442593,
0500000US39073,Hocking County,COUNTY,2014,184,144477,112250,,,,,,,1.9912721079987936,
0500000US39073,Hocking County,COUNTY,2015,236,159346,123950,,,,,,,2.1300178718724223,
0500000US39073,Hocking County,COUNTY,2016,214,175135,137950,,,,,,,2.2879556838159685,
0500000US39073,Hocking County,COUNTY,2017,232,164023,131950,,,,,,,2.0693494761934637,
0500000US39073,Hocking County,COUNTY,2018,269,174735,144000,,,,,,,2.248173359145694,
0500000US39073,Hocking County,COUNTY,2019,274,193078,162000,,,,,,,2.410463195798057,
0500000US39073,Hocking County,COUNTY,2020,314,221865,188450,,,,,,,2.71061375372179,
0500000US39073,Hocking County,COUNTY,2021,308,235580,209500,,,,,,,2.9162432661924584,
0500000US39073,Hocking County,COUNTY,2022,327,270703,260000,,,,,,,3.4311202607651397,
0500000US39073,Hocking County,COUNTY,2023,277,270000,270000,,,,,,,3.488822845328854,
0500000US39083,Knox County,COUNTY,2012,290,147312,111000,,,,,,,2.0670775992104136,
0500000US39083,Knox County,COUNTY,2013,362,157284,120250,,,,,,,2.2235988091495775,
0500000US39083,Knox County,COUNTY,2014,411,164105,127500,,,,,,,2.261801280800412,
0500000US39083,Knox County,COUNTY,2015,412,175480,136500,,,,,,,2.3456832554302993,
0500000US39083,Knox County,COUNTY,2016,505,184085,145000,,,,,,,2.404882741234617,
0500000US39083,Knox County,COUNTY,2017,510,183975,148000,,,,,,,2.3210589047111223,
0500000US39083,Knox County,COUNTY,2018,605,188082,155000,,,,,,,2.4199088240804345,
0500000US39083,Knox County,COUNTY,2019,609,196534,164900,,,,,,,2.4536134628833306,
0500000US39083,Knox County,COUNTY,2020,621,211917,180000,,,,,,,2.589071242610359,
0500000US39083,Knox County,COUNTY,2021,670,224897,200000,,,,,,,2.7840031180834925,
0500000US39083,Knox County,COUNTY,2022,598,237083,227710,,,,,,,3.004994919302691,
0500000US39083,Knox County,COUNTY,2023,574,255250,255250,,,,,,,3.298229745445148,
0500000US39089,Licking County,COUNTY,2012,1571,166557,125501,69450,52331,2787,90055,67857,3872,2.3371198718784334,2.398215207047448
0500000US39089,Licking County,COUNTY,2013,1972,176577,135000,71775,54875,2663,91600,70032,3280,2.4963479354278,2.460136674259681
0500000US39089,Licking County,COUNTY,2014,2066,186629,145000,74206,57654,3459,89802,69771,2853,2.572244593851449,2.5150032955215598
0500000US39089,Licking County,COUNTY,2015,2305,196564,152900,76984,59883,4339,91623,71270,3330,2.627508935936211,2.553312292303325
0500000US39089,Licking County,COUNTY,2016,2455,205668,162000,74504,58685,2823,98752,77785,5641,2.6868345108966065,2.7605009798074462
0500000US39089,Licking County,COUNTY,2017,2535,223753,180000,78168,62883,4902,100653,80971,4328,2.8229094787027162,2.862458852154
0500000US39089,Licking County,COUNTY,2018,2488,236088,194562,82251,67784,6341,101602,83731,4592,3.037555423718229,2.8703160037767024
0500000US39089,Licking County,COUNTY,2019,2609,244327,205000,78677,66013,4293,105272,88327,5525,3.0502775008555654,3.105448926726554
0500000US39089,Licking County,COUNTY,2020,2579,270665,229900,82022,69669,0,107922,91668,0,3.306819325978453,3.299889477385925
0500000US39089,Licking County,COUNTY,2021,2891,292366,260000,82453,73325,5358,106836,95009,7173,3.6192040535085406,3.5458574838049777
0500000US39089,Licking County,COUNTY,2022,2480,312349,300000,79809,76654,4616,106882,102656,6998,3.958984916267469,3.913690087927571
0500000US39089,Licking County,COUNTY,2023,2154,310000,310000,75976,75976,4852,98310,98310,5077,4.0056854890812765,4.080235863957039
0500000US39091,Logan County,COUNTY,2012,120,159853,120450,,,,,,,2.243058529954003,
0500000US39091,Logan County,COUNTY,2013,124,142504,108950,,,,,,,2.0146452412211766,
0500000US39091,Logan County,COUNTY,2014,115,173629,134900,,,,,,,2.3930744531762786,
0500000US39091,Logan County,COUNTY,2015,127,178373,138750,,,,,,,2.3843483640362937,
0500000US39091,Logan County,COUNTY,2016,174,163138,128500,,,,,,,2.131223670680333,
0500000US39091,Logan County,COUNTY,2017,186,164305,132176,,,,,,,2.0729016372874978,
0500000US39091,Logan County,COUNTY,2018,176,184442,152000,,,,,,,2.373071879098233,
0500000US39091,Logan County,COUNTY,2019,226,198024,166150,,,,,,,2.472212715937328,
0500000US39091,Logan County,COUNTY,2020,221,200144,170000,,,,,,,2.445233951354228,
0500000US39091,Logan County,COUNTY,2021,265,236142,210000,,,,,,,2.9232032739876668,
0500000US39091,Logan County,COUNTY,2022,304,248578,238750,,,,,,,3.1506921625295274,
0500000US39091,Logan County,COUNTY,2023,258,238950,238950,,,,,,,3.087608218116036,
0500000US39097,Madison County,COUNTY,2012,275,152620,115000,,,,,,,2.1415668820648426,
0500000US39097,Madison County,COUNTY,2013,350,163824,125250,,,,,,,2.316056140091348,
0500000US39097,Madison County,COUNTY,2014,355,163461,127000,,,,,,,2.252931471856096,
0500000US39097,Madison County,COUNTY,2015,420,173231,134750,,,,,,,2.315610393181193,
0500000US39097,Madison County,COUNTY,2016,463,184720,145500,,,,,,,2.413175440342323,
0500000US39097,Madison County,COUNTY,2017,484,181178,145750,,,,,,,2.2857725362273382,
0500000US39097,Madison County,COUNTY,2018,467,200217,165000,,,,,,,2.5760319740211077,
0500000US39097,Madison County,COUNTY,2019,473,212147,178000,,,,,,,2.648533634889223,
0500000US39097,Madison County,COUNTY,2020,492,244293,207500,,,,,,,2.9846237935647193,
0500000US39097,Madison County,COUNTY,2021,510,281122,250000,,,,,,,3.4800038976043655,
0500000US39097,Madison County,COUNTY,2022,491,270703,260000,,,,,,,3.4311202607651397,
0500000US39097,Madison County,COUNTY,2023,436,299001,299001,,,,,,,3.863561183615454,
0500000US39101,Marion County,COUNTY,2012,603,90245,68000,57072,43004,4624,67473,50841,3238,1.2663178085252984,1.5812482559761882
0500000US39101,Marion County,COUNTY,2013,664,96529,73800,54737,41849,3405,75821,57968,6446,1.3646702047005308,1.763482998399006
0500000US39101,Marion County,COUNTY,2014,653,108116,84000,50497,39233,4441,65440,50843,4559,1.490127902644977,2.141054724339204
0500000US39101,Marion County,COUNTY,2015,740,107345,83500,52203,40607,4465,69286,53895,4123,1.4349051416002199,2.0562957125618735
0500000US39101,Marion County,COUNTY,2016,769,121611,95790,54370,42826,4098,68800,54192,4120,1.5887152950542345,2.2367253537570635
0500000US39101,Marion County,COUNTY,2017,727,125673,101099,55647,44766,4252,74775,60153,6563,1.585518474374255,2.2583880623687618
0500000US39101,Marion County,COUNTY,2018,817,131658,108500,52187,43008,3378,66183,54542,4624,1.6939361768563042,2.5227864583333335
0500000US39101,Marion County,COUNTY,2019,817,140637,118000,60317,50608,4364,90101,75598,12507,1.7557694882973502,2.331647170407841
0500000US39101,Marion County,COUNTY,2020,578,153051,130000,58587,49764,0,83684,71080,0,1.8698847863297037,2.6123564459895303
0500000US39101,Marion County,COUNTY,2021,809,168560,149900,55009,48919,8544,74847,66561,7373,2.086610337003578,3.064249064780556
0500000US39101,Marion County,COUNTY,2022,673,160339,154000,59041,56707,11316,69840,67079,5042,2.0322789236839673,2.715714109369214
0500000US39101,Marion County,COUNTY,2023,633,159500,159500,53995,53995,5825,74084,74084,9258,2.0609897919627858,2.9539772201129733
0500000US39117,Morrow County,COUNTY,2012,244,117156,88278,,,,,,,1.643931916795471,
0500000US39117,Morrow County,COUNTY,2013,353,130667,99900,,,,,,,1.847297472216572,
0500000US39117,Morrow County,COUNTY,2014,318,158956,123500,,,,,,,2.190842809245889,
0500000US39117,Morrow County,COUNTY,2015,458,164232,127750,,,,,,,2.1953189441847676,
0500000US39117,Morrow County,COUNTY,2016,451,172659,136000,,,,,,,2.2556141572959167,
0500000US39117,Morrow County,COUNTY,2017,407,171544,138000,,,,,,,2.1642306003387493,
0500000US39117,Morrow County,COUNTY,2018,378,182015,150000,,,,,,,2.341847249110098,
0500000US39117,Morrow County,COUNTY,2019,319,196653,165000,,,,,,,2.4551014031276504,
0500000US39117,Morrow County,COUNTY,2020,379,234286,199000,,,,,,,2.862362095997008,
0500000US39117,Morrow County,COUNTY,2021,374,242327,215500,,,,,,,2.9997633597349633,
0500000US39117,Morrow County,COUNTY,2022,338,258677,248450,,,,,,,3.278699341488842,
0500000US39117,Morrow County,COUNTY,2023,299,270000,270000,,,,,,,3.488822845328854,
0500000US39127,Perry County,COUNTY,2012,85,176509,133000,,,,,,,2.4767686549097747,
0500000US39127,Perry County,COUNTY,2013,101,168729,129000,,,,,,,2.385399138297676,
0500000US39127,Perry County,COUNTY,2014,157,173758,135000,,,,,,,2.3948484149651414,
0500000US39127,Perry County,COUNTY,2015,134,153626,119500,,,,,,,2.0535468792961233,
0500000US39127,Perry County,COUNTY,2016,150,167200,131700,,,,,,,2.184296944969649,
0500000US39127,Perry County,COUNTY,2017,196,173657,139700,,,,,,,2.1908914120820526,
